Country/Territory,IMF[1][12],IMF[1][12],World Bank[13],World Bank[13],United Nations[14],United Nations[14]
Country/Territory,Forecast,Year,Estimate,Year,Estimate,Year
World,113795678,2025,111326370,2024,100834796,2022
United States,30507217,2025,29184890,2024,27720700,2023
China,19231705,[n 1]2025,18743803,[n 3]2024,17794782,[n 1]2023
Germany,4744804,2025,4659929,2024,4525704,2023
India,4187017,2025,3912686,2024,3575778,2023
Japan,4186431,2025,4026211,2024,4204495,2023
United Kingdom,3839180,2025,3643834,2024,3380855,2023
France,3211292,2025,3162079,2024,3051832,2023
Italy,2422855,2025,2372775,2024,2300941,2023
Canada,2225341,2025,2241253,2024,2142471,2023
Brazil,2125958,2025,2179412,2024,2191132,2023
Russia,2076396,2025,2173836,2024,2008419,2023
Spain,1799511,2025,1722746,2024,1620091,2023
South Korea,1790322,2025,1712793,2023,1839058,2023
Australia,1771681,2025,1752193,2024,1775628,2023
Mexico,1692640,2025,1852723,2024,1793799,2023
Turkey,1437406,2025,1323255,2024,1118253,2023
Indonesia,1429743,2025,1396300,2024,1371171,2023
Netherlands,1272011,2025,1227544,2024,1154361,2023
Saudi Arabia,1083749,2025,1237530,2024,1067583,2023
Poland,979960,2025,914696,2024,809201,2023
Switzerland,947125,2025,936564,2024,894425,2023
Taiwan,804889,[n 4]2025,—,—,—,—
Belgium,684864,2025,664564,2024,644783,2023
Argentina,683533,2025,633267,2024,646075,2023
Sweden,620297,2025,610118,2024,584960,2023
Ireland,598840,2025,577389,2024,551395,2023
Israel,583361,2025,540380,2024,513611,2023
Singapore,564774,2025,547387,2024,501428,2023
United Arab Emirates,548598,2025,537079,2024,514130,2023
Thailand,546224,2025,526411,2024,514945,2023
Austria,534301,2025,521642,2024,511685,2023
Norway,504276,2025,483727,2024,485311,2023
Philippines,497495,2025,461618,2024,437146,2023
Vietnam,490970,2025,476388,2024,429717,2023
Bangladesh,467218,2025,450119,2024,422431,2023
Denmark,449940,2025,429457,2024,407092,2023
Malaysia,444984,2025,421972,2024,399649,2023
Colombia,427766,2025,418542,2024,363540,2023
Hong Kong,423999,[n 5]2025,407107,2024,380812,2023
South Africa,410338,2025,400261,2024,377782,2023
Romania,403395,2025,382768,2024,350776,2023
Pakistan,—,—,373072,2024,299864,2023
Czech Republic,360244,2025,345037,2024,343208,2023
Egypt,347342,2025,389050,2024,331590,2023
Chile,343823,2025,330267,2024,335533,2023
Iran,341013,2025,436906,2024,401596,2023
Portugal,321440,2025,308683,2024,289114,2023
Finland,303945,2025,299836,2024,295532,2023
Peru,303293,2025,289222,2024,267603,2023
Kazakhstan,300538,2025,288406,2024,264293,2023
Algeria,268885,2025,263620,2024,247626,2023
Greece,267348,2025,257145,2024,243498,2023
Iraq,258020,2025,279641,2024,232107,2023
New Zealand,248666,2025,260236,2024,252176,2023
Hungary,237070,2025,222905,2024,212657,2023
Qatar,222776,2025,217983,2024,213003,2023
Ukraine,205742,[n 6]2025,190741,[n 6]2024,178757,[n 6]2023
Cuba,—,—,—,—,201986,2023
Nigeria,188271,2025,187760,2024,374984,2023
Morocco,165835,2025,154431,2024,144438,2023
Kuwait,153101,2025,160227,2024,163705,2023
Slovakia,147031,2025,141776,2024,132908,2023
Uzbekistan,132484,2025,114965,2024,90889,2023
Kenya,131673,2025,124499,2024,108039,2023
Dominican Republic,127828,2025,124282,2024,121444,2023
Ecuador,125677,2025,124676,2024,118845,2023
Puerto Rico,122522,2025,125842,2024,117902,2023
Guatemala,121177,2025,113200,2024,104451,2023
Ethiopia,117457,2025,163698,2023,159746,2023
Bulgaria,117007,2025,112212,2024,102397,2023
Angola,113343,2025,80397,2024,90552,2023
Venezuela,108511,2025,—,—,139395,2023
Oman,104351,2025,106943,2024,105896,2023
Costa Rica,102591,2025,95350,2024,86498,2023
Sri Lanka,—,—,98963,2024,84364,2023
Croatia,98951,2025,92526,2024,84391,2023
Luxembourg,96613,2025,93197,2024,85755,2023
Ivory Coast,94483,2025,86538,2024,78789,2023
Serbia,92549,2025,89084,2024,75187,2023
Panama,91675,2025,86260,2024,83382,2023
Lithuania,89192,2025,84869,2024,79790,2023
Turkmenistan,89054,2025,64240,2024,59887,2023
Ghana,88332,2025,82825,2024,76370,2023
Tanzania,85977,2025,78780,2024,78353,[n 7]2023
Uruguay,79731,2025,80962,2024,77236,2023
DR Congo,79119,2025,70749,2024,69338,2023
Azerbaijan,78870,2025,74316,2024,72356,2023
Slovenia,75224,2025,72485,2024,69148,2023
Belarus,71561,2025,75962,2024,71857,2023
Myanmar,64944,2025,74080,2024,62084,2023
Uganda,64277,2025,53652,2024,51023,2023
Bolivia,56339,2025,49668,2024,45135,2023
Tunisia,56291,2025,53410,2024,48541,2023
Jordan,56102,2025,53352,2024,50814,2023
Cameroon,56011,2025,51327,2024,49279,2023
Macau,53354,[n 8]2025,50183,2024,45803,2023
Cambodia,49799,2025,46353,2024,42824,2023
Bahrain,47829,2025,47737,2024,44662,2023
Libya,47484,2025,46636,2024,44030,2023
Nepal,46080,2025,42914,2024,40484,2023
Latvia,45535,2025,43521,2024,42248,2023
Paraguay,45465,2025,44458,2024,42955,2023
Estonia,45004,2025,42765,2024,41291,2023
Cyprus,38736,[n 9]2025,36333,[n 9]2024,33887,[n 9]2023
Zimbabwe,38172,2025,44188,2024,30368,2023
Honduras,38172,2025,37094,2024,34401,2023
El Salvador,36749,2025,35365,2024,34016,2023
Georgia,35353,[n 10]2025,33776,[n 10]2024,30536,[n 10]2023
Iceland,35309,2025,33463,2024,31325,2023
Senegal,34728,2025,32267,2024,30408,2023
Haiti,33548,2025,25224,2024,19841,2023
Papua New Guinea,32835,2025,32538,2024,31020,2023
Sudan,31506,2025,49910,2024,34021,2023
Guinea,30094,2025,25334,2024,23006,2023
Zambia,28910,2025,26326,2024,27578,2023
Bosnia and Herzegovina,28807,2025,28343,2024,27515,2023
Albania,28372,2025,27178,2024,22978,2023
Burkina Faso,27056,2025,23250,2024,20325,2023
Trinidad and Tobago,26467,2025,26429,2024,25489,2023
Armenia,26258,2025,25787,2024,24219,2023
Guyana,25822,2025,24836,2024,16683,2023
Mongolia,25804,2025,23586,2024,19872,2023
Malta,25750,2025,24322,2024,22212,2023
Mozambique,23771,2025,22417,2024,20954,2023
Mali,23208,2025,26588,2024,20662,2023
Benin,22236,2025,21483,2024,19673,2023
Niger,21874,2025,19538,2024,16819,2023
Jamaica,21411,2025,19930,2024,19423,2023
Nicaragua,21155,2025,19694,2024,17829,2023
Gabon,20391,2025,20867,2024,20056,2023
Lebanon,—,—,20079,2023,27464,2023
Syria,—,—,19993,2023,29028,2023
Kyrgyzstan,19849,2025,17478,2024,13988,2023
Moldova,19462,[n 11]2025,18200,[n 11]2024,16542,[n 11]2023
Botswana,19400,2025,19401,2024,19396,2023
Chad,18792,2025,20626,2024,17643,2023
Madagascar,18708,2025,17421,2024,15870,2023
North Macedonia,17885,2025,16685,2024,15764,2023
Yemen,17401,2025,—,—,8758,2023
Afghanistan,—,—,17152,2023,16417,2023
North Korea,—,—,—,—,16447,2023
Laos,16322,2025,16503,2024,15008,2023
Brunei,16007,2025,15463,2024,15128,2023
Mauritius,15495,2025,14953,2024,14397,2023
Congo,15281,2025,15720,2024,14167,2023
Bahamas,15178,2025,15833,2024,14338,2023
Tajikistan,14836,2025,14205,2024,12061,2023
Rwanda,14771,2025,14252,2024,14097,2023
Namibia,14214,2025,13372,2024,12351,2023
Malawi,13959,2025,11009,2024,12627,2023
Palestine,—,—,13711,[n 12]2024,17396,[n 13]2023
Somalia,12994,2025,12109,2024,10969,2023
Equatorial Guinea,12684,2025,12766,2024,12117,2023
Channel Islands,—,—,12508,2023,—,—
Mauritania,11470,2025,10767,2024,10652,2023
Kosovo,11274,2025,11149,2024,10467,2023
New Caledonia,—,—,9623,2022,10140,2023
Togo,10023,2025,9926,2024,9278,2023
Monaco,—,—,9995,2023,9995,2023
Bermuda,—,—,8980,2024,8142,2023
Montenegro,8562,2025,8070,2024,7530,2023
Sierra Leone,8386,2025,7548,2024,6412,2023
Liechtenstein,—,—,8288,2023,7965,2023
Barbados,7552,2025,7165,2024,6721,2023
Maldives,7480,2025,6975,2024,6591,2023
Isle of Man,—,—,7431,2022,—,—
Cayman Islands,—,—,7139,2023,7127,2023
Guam,—,—,6910,2022,—,—
Burundi,6745,2025,2162,2024,3960,2023
French Polynesia,—,—,6402,2023,6398,2023
Fiji,6257,2025,5841,2024,5442,2023
Eswatini,5483,2025,4892,2024,4574,2023
Liberia,5166,2025,4750,2024,5039,2023
U.S. Virgin Islands,—,—,4672,2022,—,—
Djibouti,4587,2025,4086,2024,4000,2023
Suriname,4506,2025,4714,2024,3759,2023
Aruba,4100,2025,3649,2023,3649,2023
Andorra,4035,2025,4040,2024,3785,2023
South Sudan,3998,2025,—,—,4629,2023
Faroe Islands,—,—,3907,2023,—,—
Belize,3611,2025,3516,2024,3079,2023
Bhutan,3422,2025,3019,2023,3019,2023
Greenland,—,—,3327,2023,3041,2023
Curaçao,—,—,3281,2023,3281,2023
Central African Republic,2932,2025,2752,2024,2555,2023
Cape Verde,2786,2025,2768,2024,2591,2023
Gambia,2771,2025,2508,2024,2401,2023
Saint Lucia,2632,2025,2549,2024,2430,2023
Zanzibar,—,—,—,—,2483,2023
Lesotho,2404,2025,2272,2024,2118,2023
Antigua and Barbuda,2373,2025,2225,2024,2033,2023
Eritrea,—,—,—,—,2275,2023
Guinea-Bissau,2274,2025,2120,2024,1841,2023
Seychelles,2198,2025,2167,2024,2141,2023
Timor-Leste,2115,2025,1881,2024,2080,2023
San Marino,2047,2025,1832,2022,1987,2023
Solomon Islands,1898,2025,1761,2024,1633,2023
Turks and Caicos Islands,—,—,1745,2024,1402,2023
Sint Maarten,—,—,1735,2024,1677,2023
Comoros,1548,2025,1546,2024,1448,2023
British Virgin Islands,—,—,—,—,1506,2023
Grenada,1464,2025,1391,2024,1317,2023
Vanuatu,1267,2025,1161,2024,1119,2023
Saint Vincent and the Grenadines,1242,2025,1157,2024,1091,2023
Northern Mariana Islands,—,—,1096,2022,—,—
Samoa,1160,2025,1068,2024,1032,2023
Saint Kitts and Nevis,1129,2025,1067,2024,1058,2023
American Samoa,—,—,871,2022,—,—
São Tomé and Príncipe,864,2025,764,2024,684,2023
Dominica,742,2025,689,2024,651,2023
Saint Martin,—,—,649,2021,—,—
Tonga,568,2025,509,2023,508,2023
Micronesia,500,2025,471,2024,460,2023
Anguilla,—,—,—,—,416,2023
Cook Islands,—,—,—,—,366,2023
Palau,333,2025,282,2023,282,2023
Kiribati,312,2025,308,2024,289,2023
Marshall Islands,297,2025,280,2024,270,2023
Nauru,169,2025,160,2024,176,2023
Montserrat,—,—,—,—,80,2023
Tuvalu,65,2025,62,2023,68,2023
